state_code,cve_ent,estado,categoria,variable,valor,anio,fuente,unidad
MOR,17,Morelos,infraestructura_digital,personas_pagos_internet_pct,25.64,2024,INEGI ENDUTIH 2024,%
NAY,18,Nayarit,infraestructura_digital,personas_pagos_internet_pct,23.11,2024,INEGI ENDUTIH 2024,%
NLE,19,Nuevo Leon,infraestructura_digital,personas_pagos_internet_pct,35.01,2024,INEGI ENDUTIH 2024,%
OAX,20,Oaxaca,infraestructura_digital,personas_pagos_internet_pct,17.14,2024,INEGI ENDUTIH 2024,%
PUE,21,Puebla,infraestructura_digital,personas_pagos_internet_pct,21.83,2024,INEGI ENDUTIH 2024,%
QUE,22,Queretaro,infraestructura_digital,personas_pagos_internet_pct,33.21,2024,INEGI ENDUTIH 2024,%
ROO,23,Quintana Roo,infraestructura_digital,personas_pagos_internet_pct,28.62,2024,INEGI ENDUTIH 2024,%
SLP,24,San Luis Potosi,infraestructura_digital,personas_pagos_internet_pct,25.53,2024,INEGI ENDUTIH 2024,%
SIN,25,Sinaloa,infraestructura_digital,personas_pagos_internet_pct,32.1,2024,INEGI ENDUTIH 2024,%
SON,26,Sonora,infraestructura_digital,personas_pagos_internet_pct,36.66,2024,INEGI ENDUTIH 2024,%
TAB,27,Tabasco,infraestructura_digital,personas_pagos_internet_pct,28.3,2024,INEGI ENDUTIH 2024,%
TAM,28,Tamaulipas,infraestructura_digital,personas_pagos_internet_pct,32.08,2024,INEGI ENDUTIH 2024,%
TLA,29,Tlaxcala,infraestructura_digital,personas_pagos_internet_pct,20.36,2024,INEGI ENDUTIH 2024,%
VER,30,Veracruz,infraestructura_digital,personas_pagos_internet_pct,19.93,2024,INEGI ENDUTIH 2024,%
YUC,31,Yucatan,infraestructura_digital,personas_pagos_internet_pct,32.26,2024,INEGI ENDUTIH 2024,%
ZAC,32,Zacatecas,infraestructura_digital,personas_pagos_internet_pct,23.6,2024,INEGI ENDUTIH 2024,%
AGS,01,Aguascalientes,infraestructura_digital,personas_banca_electronica_pct,29.2,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,infraestructura_digital,personas_banca_electronica_pct,19.56,2024,INEGI ENDUTIH 2024,%
